Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","4172357.06","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","1686657.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","970618.86","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5200","Americas","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","24077682.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5200","Americas","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","12384420.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5200","Americas","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","13120783.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","62584499","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","24051102.26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","18395622.11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","15077576.75","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","4016224.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","4447678.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","1823662.66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","tonnes","1266729.72","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2019","2019","tonnes","456499.69","A","Aggregate, may include official, semi-official, estimated or calculated data"
